test_name,n_obs,n_exogenous,n_endogenous,n_instruments,n_partitions,chunk_size,success,error_msg,data_gen_time,processing_time,twosls_cov_success,benchmark_first_stage_f,n_obs_processed,rss,rank_deficient,instrument_strength,endogeneity_strength,theoretical_f_stats,benchmark_agreement,se_agreement,weak_instruments_detected,true_beta_all_mean,true_beta_all_max,true_beta_all_std,estimated_beta_mean,estimated_beta_max,estimated_beta_std,bias_mean,bias_max,bias_std,abs_bias_mean,abs_bias_max,abs_bias_std,rel_bias_mean,rel_bias_max,rel_bias_std,fs_endogenous_0_f_stat,fs_endogenous_0_weak_instruments,fs_endogenous_1_f_stat,fs_endogenous_1_weak_instruments
2sls_basic_just_identified,5000,1,1,1,5,500,True,,0.24414634704589844,1.839306116104126,True,[np.float64(3613.345790191195)],5000,10983.501637836807,False,0.8,0.3,[np.float64(3637.240562173802)],True,False,True,1.5,2.0,0.408248290463863,1.486332072906338,1.9740058048742528,0.4042237105948908,-0.013667927093661936,0.0008088934974785911,0.011047474739144936,0.01420718942531433,0.025994195125747188,0.010344790852547003,0.009784946515747734,0.01581847965271721,0.006638376119114554,,True,,
2sls_basic_over_identified,5000,2,1,2,5,500,True,,0.004819393157958984,2.2113537788391113,True,[np.float64(2441.4169444858708)],5000,11311.354595451256,False,0.6,0.3,[np.float64(3601.900621563691)],True,False,True,0.875,2.0,1.1388041973930374,0.8843906957649157,2.030687384331291,1.149649820140241,0.009390695764915746,0.030687384331291145,0.017882193941430844,0.017039297585314805,0.030687384331291145,0.010845292292383714,0.011355657679805916,0.015343692165645573,0.005844163465735859,,True,,
2sls_multiple_endogenous,8000,2,2,3,5,800,True,,0.0072863101959228516,2.478760242462158,True,"[np.float64(5346.682346781164), np.float64(6536.356457497843)]",8000,4364.492278665479,False,0.7,0.3,"[np.float64(10304.05831215313), np.float64(12747.830858964902)]",True,False,True,0.4,2.0,1.3928388277184118,0.39260067784135516,1.9878563827525764,1.3858947963434496,-0.00739932215864485,0.01345946560535971,0.010531932518503193,0.012783108400788733,0.015216236217547863,0.0015045632573614796,0.009958954680828429,0.015216236217547863,0.0033986606958692827,,True,,True
2sls_small_sample,1000,1,1,2,5,200,True,,0.0025513172149658203,1.8307695388793945,True,[np.float64(845.7077801720591)],1000,4296.960356515583,False,0.9,0.3,[np.float64(1382.979507103957)],True,False,True,1.5,2.0,0.408248290463863,1.4939967416198183,1.9474119277796,0.3954707442730162,-0.0060032583801814905,0.05084984060345765,0.04284801599591232,0.03990315211581993,0.05258807222039996,0.01672513190342346,0.025488491123146856,0.03389989373563843,0.007219250184710996,,True,,
2sls_large_sample,20000,2,1,2,5,2000,True,,0.021429777145385742,2.055424690246582,True,[np.float64(7883.501357070454)],20000,45589.1896818258,False,0.5,0.3,[np.float64(12531.904328359022)],True,False,True,0.875,2.0,1.1388041973930374,0.8482020773051981,1.8890541340744145,1.1212437765366154,-0.026797922694801857,0.013205472774987737,0.04985528517012727,0.03702406147071258,0.11094586592558553,0.04281234626091152,0.022055372165432074,0.055472932962792765,0.01962355444798872,,True,,
2sls_strong_instruments,5000,2,1,2,5,500,True,,0.0023102760314941406,2.1865687370300293,True,[np.float64(9240.700259372783)],5000,11823.852544433166,False,1.2,0.3,[np.float64(15288.448112057667)],True,False,True,0.875,2.0,1.1388041973930374,0.8717472014922306,1.9952287355332,1.139997259763444,-0.0032527985077693555,0.010267819209079043,0.009066279684514343,0.008386708112308877,0.015239316874440356,0.0047372199113949204,0.0069346484532022785,0.015239316874440356,0.005077159853516443,,True,,
2sls_weak_instruments,5000,2,1,2,5,500,True,,0.0044252872467041016,1.8901100158691406,True,[np.float64(15.780696539269258)],5000,11509.208305264008,False,0.1,0.3,[np.float64(21.615859521747208)],True,False,True,0.875,2.0,1.1388041973930374,0.8994922963054035,1.953538328931595,1.198167749465693,0.024492296305403533,0.28595066586977214,0.15142266388719414,0.11848303662948254,0.28595066586977214,0.09741902148996646,0.08884610559011757,0.19063377724651476,0.06223885344171749,,True,,
2sls_low_endogeneity,5000,2,1,2,5,500,True,,0.004565000534057617,1.8037545680999756,True,[np.float64(2050.8152918451165)],5000,10065.100799046071,False,0.5,0.1,[np.float64(3272.019003510367)],True,False,True,0.875,2.0,1.1388041973930374,0.8893117482212869,2.0652334724983112,1.137305933735347,0.01431174822128703,0.06523347249831124,0.037366615376962294,0.03569802531840069,0.06523347249831124,0.018075980478142,0.025472149336607436,0.0347860745810642,0.008278461765683753,,True,,
2sls_high_endogeneity,5000,2,1,2,5,500,True,,0.0044498443603515625,1.9035842418670654,True,[np.float64(1376.928503128812)],5000,14586.780296465196,False,0.5,0.8,[np.float64(2118.9246159042555)],True,False,True,0.875,2.0,1.1388041973930374,0.8709740076250125,1.96861408826365,1.146054254846273,-0.004025992374987408,0.026795189532083485,0.02509450861852171,0.024635102126858766,0.03138591173634997,0.006249377617631685,0.01847893069880806,0.025936277267342378,0.00447780104721376,,True,,
2sls_low_noise,5000,2,1,2,5,500,True,,0.0044116973876953125,2.3075177669525146,True,[np.float64(6452.076752167522)],5000,2830.9565051630866,False,0.5,0.3,[np.float64(10296.469938987484)],True,False,True,0.875,2.0,1.1388041973930374,0.8843049764122908,2.029733522201662,1.1462577927611823,0.009304976412290833,0.029733522201662144,0.011847055235597792,0.009304976412290833,0.029733522201662144,0.011847055235597792,0.00538114140470819,0.014866761100831072,0.005599553816709678,,True,,
2sls_high_noise,5000,2,1,2,5,500,True,,0.0044460296630859375,2.125037908554077,True,[np.float64(316.3075642741311)],5000,43884.154355971856,False,0.5,0.3,[np.float64(528.9847051063924)],True,False,True,0.875,2.0,1.1388041973930374,0.8928707661077082,2.0939415022288634,1.1585806498408278,0.017870766107708158,0.09394150222886344,0.05136014443473227,0.04300331565756471,0.09394150222886344,0.0332857861569893,0.027333475612834536,0.04697075111443172,0.01571530257230043,,True,,
2sls_small_chunks,5000,2,1,2,5,100,True,,0.004426717758178711,2.183692455291748,True,[np.float64(1019.9343927677694)],5000,2607.502311626845,False,0.5,0.3,[np.float64(1667.377955187844)],True,False,True,0.875,2.0,1.1388041973930374,0.8792722553681813,1.9977297565131695,1.133071102179303,0.004272255368181405,0.01899167827854109,0.015192243166684279,0.014191855434529471,0.01899167827854109,0.006902728278879036,0.012325435142130572,0.01793654332688066,0.00678813027158222,,True,,
2sls_large_chunks,5000,2,1,2,5,1500,True,,0.0044138431549072266,1.8322596549987793,True,[np.float64(1790.3764548886356)],5000,22173.820950774505,False,0.5,0.3,[np.float64(2931.1411679086464)],True,False,True,0.875,2.0,1.1388041973930374,0.9032272684553952,2.1644056733465327,1.1879852011090681,0.028227268455395277,0.16440567334653267,0.07869491251906746,0.053975568217871056,0.16440567334653267,0.06384595505115874,0.0323721119896297,0.08220283667326633,0.029181655382707946,,True,,
2sls_missing_data_5pct,5000,2,1,2,5,500,True,,0.10905122756958008,2.2770137786865234,True,[np.float64(2283.6701829268454)],4750,10088.204728877083,False,0.5,0.3,[np.float64(3720.3981020299148)],True,False,True,0.875,2.0,1.1388041973930374,0.8671969815903346,1.948884275207363,1.122181235224197,-0.00780301840966538,0.01060065846917102,0.02538468796460382,0.01799360843835271,0.05111572479263704,0.019532013074159076,0.011564348763989818,0.02555786239631852,0.009033293859731832,,True,,
2sls_zero_exogenous_effect,5000,2,1,2,5,500,True,,0.004683256149291992,1.8894329071044922,True,[np.float64(2050.0214563636005)],5000,16306.146913377881,False,0.5,0.3,[np.float64(2960.51588690408)],True,False,True,0.75,2.0,0.82915619758885,0.7500978547840005,1.9891549951987664,0.8280652525968202,9.785478400055683e-05,0.018131444669655217,0.010868633798340162,0.008967867550827052,0.018131444669655217,0.006141182930999297,inf,inf,,,True,,
2sls_large_coefficients,5000,1,1,2,5,500,True,,0.00414276123046875,2.285306930541992,True,[np.float64(2358.4185855902388)],5000,25950836.30794008,False,0.5,0.3,[np.float64(3466.69664746127)],True,False,True,41.666666666666664,100.0,51.370116691408136,41.68549882346639,99.99614079137753,51.36264197205912,0.01883215679972376,0.04128633409484905,0.01843135372973805,0.021404962548038736,0.04128633409484905,0.015368555831865582,0.000542364188397831,0.0008257266818969811,0.00035714657553343235,,True,,
